,sentences,masks,lexico_sem_relations
147,Le <mask> peut chercher des minéraux.,minéralogiste,::>66:6604>24:14474198
148,Le minéralogiste peut <mask> des minéraux.,chercher,::>66:6604>24:14474198
149,Le minéralogiste peut chercher des <mask>.,minéraux,::>66:6604>24:14474198
150,Les <mask> cliniques peuvent s'aggraver.,signes,::>66:672>24:139402
151,Les signes <mask> peuvent s'aggraver.,cliniques,::>66:672>24:139402
152,Les signes cliniques peuvent s'<mask>.,aggraver,::>66:672>24:139402
153,Une <mask> pourrait toucher.,femme,::>13:61490>29:82900
154,Une femme pourrait <mask>.,toucher,::>13:61490>29:82900
155,Il est <mask> de compulser le livre.,possible,::>14:214244>29:49595
156,Il est possible de <mask> le livre.,compulser,::>14:214244>29:49595
157,Il est possible de compulser le <mask>.,livre,::>14:214244>29:49595
158,L'<mask> peut envahir le pays.,armée,::>14:241988>29:5076
159,L'armée peut <mask> le pays.,envahir,::>14:241988>29:5076
160,L'armée peut envahir le <mask>.,pays,::>14:241988>29:5076
161,Un <mask> peut trousser une soubrette.,monsieur,::>14:123620>29:94452
162,Un monsieur peut <mask> une soubrette.,trousser,::>14:123620>29:94452
163,Un monsieur peut trousser une <mask>.,soubrette,::>14:123620>29:94452
164,Un <mask> de garçons pourrait mater dans la rue.,groupe,::>66:5990734>24:14464646
165,Un groupe de <mask> pourrait mater dans la rue.,garçons,::>66:5990734>24:14464646
166,Un groupe de garçons pourrait <mask> dans la rue.,mater,::>66:5990734>24:14464646
167,Un groupe de garçons pourrait mater dans la <mask>.,rue,::>66:5990734>24:14464646
168,Le <mask> va voler.,pigeon,::>13:215024>29:213857
169,Le pigeon va <mask>.,voler,::>13:215024>29:213857
170,Un <mask> pourrait nettoyer sa maison.,père,::>14:45179>29:85286
171,Un père pourrait <mask> sa maison.,nettoyer,::>14:45179>29:85286
172,Un père pourrait nettoyer sa <mask>.,maison,::>14:45179>29:85286
173,La <mask> pourrait s'exprimer.,personne,::>66:116477>24:137965
174,La personne pourrait s'<mask>.,exprimer,::>66:116477>24:137965
175,La <mask> pourrait cuire avec une sorte de bbq.,personne,::>16:250257>29:5115
176,La personne pourrait <mask> avec une sorte de bbq.,cuire,::>16:250257>29:5115
177,La personne pourrait cuire avec une sorte de <mask>.,bbq,::>16:250257>29:5115
178,La <mask> pouvait garer un automobile.,personne,::>66:116477>24:16558920
179,La personne pouvait <mask> un automobile.,garer,::>66:116477>24:16558920
180,La personne pouvait garer un <mask>.,automobile,::>66:116477>24:16558920
181,La <mask> peut prendre dans une bâtiment de grande hauteur.,personne,::>66:116477>24:14530499
182,La personne peut <mask> dans une bâtiment de grande hauteur.,prendre,::>66:116477>24:14530499
183,La personne peut prendre dans une <mask> de grande hauteur.,bâtiment,::>66:116477>24:14530499
184,La personne peut prendre dans une bâtiment de <mask> hauteur.,grande,::>66:116477>24:14530499
185,La personne peut prendre dans une bâtiment de grande <mask>.,hauteur,::>66:116477>24:14530499
186,Un <mask> va converser.,réfrigérateur,::>66:128721>24:108900
187,Un réfrigérateur va <mask>.,converser,::>66:128721>24:108900
188,Un <mask> va se battre.,soldat,::>66:10909834>24:91932
189,Un soldat va se <mask>.,battre,::>66:10909834>24:91932
190,La <mask> pourrait tuer un vampire.,personne,::>14:6546>29:7943
191,La personne pourrait <mask> un vampire.,tuer,::>14:6546>29:7943
192,La personne pourrait tuer un <mask>.,vampire,::>14:6546>29:7943
193,Un <mask> va baiser sa femme.,voisin,::>66:28291>24:14472092
194,Un voisin va <mask> sa femme.,baiser,::>66:28291>24:14472092
195,Un voisin va baiser sa <mask>.,femme,::>66:28291>24:14472092
196,Une <mask> pouvait cuire un magret de canard dans un four.,personne,::>66:17041753>15:9190
197,Une personne pouvait <mask> un magret de canard dans un four.,cuire,::>66:17041753>15:9190
198,Une personne pouvait cuire un <mask> de canard dans un four.,magret,::>66:17041753>15:9190
199,Une personne pouvait cuire un magret de <mask> dans un four.,canard,::>66:17041753>15:9190
200,Une personne pouvait cuire un magret de canard dans un <mask>.,four,::>66:17041753>15:9190
201,Une <mask> pourrait baisser la tête.,personne,::>66:225916>24:390956
202,Une personne pourrait <mask> la tête.,baisser,::>66:225916>24:390956
203,Une personne pourrait baisser la <mask>.,tête,::>66:225916>24:390956
204,La <mask> pourrait écrire sur le mur.,personne,::>31:144936>29:91801
205,La personne pourrait <mask> sur le mur.,écrire,::>31:144936>29:91801
206,La personne pourrait écrire <mask> le mur.,sur,::>31:144936>29:91801
207,La personne pourrait écrire sur le <mask>.,mur,::>31:144936>29:91801
208,La <mask> à voile va utiliser le vent pour se déplacer.,marine,::>66:156325>24:16096026
209,La marine à <mask> va utiliser le vent pour se déplacer.,voile,::>66:156325>24:16096026
210,La marine à voile va <mask> le vent pour se déplacer.,utiliser,::>66:156325>24:16096026
211,La marine à voile va utiliser le <mask> pour se déplacer.,vent,::>66:156325>24:16096026
212,La marine à voile va utiliser le vent pour se <mask>.,déplacer,::>66:156325>24:16096026
213,Un <mask> pourrait faire éclater le tuyau.,gel,::>66:41415>24:14474595
214,Un gel pourrait <mask> éclater le tuyau.,faire,::>66:41415>24:14474595
215,Un gel pourrait faire <mask> le tuyau.,éclater,::>66:41415>24:14474595
216,Un gel pourrait faire éclater le <mask>.,tuyau,::>66:41415>24:14474595
217,Le <mask> pourrait commettre un crime terroriste.,terroriste,::>66:80892>24:16519889
218,Le terroriste pourrait <mask> un crime terroriste.,commettre,::>66:80892>24:16519889
219,Le terroriste pourrait commettre un <mask> terroriste.,crime,::>66:80892>24:16519889
220,Le terroriste pourrait commettre un crime <mask>.,terroriste,::>66:80892>24:16519889
221,Une <mask> est un lieu où il est possible de voler quelque chose.,maison,::>66:45179>30:73827
222,Une maison est un <mask> où il est possible de voler quelque chose.,lieu,::>66:45179>30:73827
223,Une maison est un lieu où il est <mask> de voler quelque chose.,possible,::>66:45179>30:73827
224,Une maison est un lieu où il est possible de <mask> quelque chose.,voler,::>66:45179>30:73827
225,Une maison est un lieu où il est possible de voler <mask> chose.,quelque,::>66:45179>30:73827
226,Une maison est un lieu où il est possible de voler quelque <mask>.,chose,::>66:45179>30:73827
227,La <mask> peut partir en vacances.,famille,::>66:98300>24:157590
228,La famille peut <mask> en vacances.,partir,::>66:98300>24:157590
229,La famille peut partir en <mask>.,vacances,::>66:98300>24:157590
230,Le <mask> pouvait voler un sac.,voyou,::>13:12479>29:8794597
231,Le voyou pouvait <mask> un sac.,voler,::>13:12479>29:8794597
232,Le voyou pouvait voler un <mask>.,sac,::>13:12479>29:8794597
233,Il est <mask> de regonfler le pneu.,possible,::>14:43548>29:133579
234,Il est possible de <mask> le pneu.,regonfler,::>14:43548>29:133579
235,Il est possible de regonfler le <mask>.,pneu,::>14:43548>29:133579
236,Une <mask> peut offrir un cadeau.,personne,::>66:116477>24:227078
237,Une personne peut <mask> un cadeau.,offrir,::>66:116477>24:227078
238,Une personne peut offrir un <mask>.,cadeau,::>66:116477>24:227078
239,Le <mask> pourrait arroser avec l'arrosoir.,jardinier,::>66:225259>24:16594281
240,Le jardinier pourrait <mask> avec l'arrosoir.,arroser,::>66:225259>24:16594281
241,Le jardinier pourrait arroser avec l'<mask>.,arrosoir,::>66:225259>24:16594281
242,La <mask> pouvait se casser dans l'escalier.,personne,::>31:81320>29:58034
243,La personne pouvait se <mask> dans l'escalier.,casser,::>31:81320>29:58034
244,La personne pouvait se casser dans l'<mask>.,escalier,::>31:81320>29:58034
245,L'<mask> pourrait avoir besoin de repos.,ouvrier,::>13:69797>29:14529958
246,L'ouvrier pourrait <mask> besoin de repos.,avoir,::>13:69797>29:14529958
247,L'ouvrier pourrait avoir <mask> de repos.,besoin,::>13:69797>29:14529958
248,L'ouvrier pourrait avoir besoin de <mask>.,repos,::>13:69797>29:14529958
249,Une <mask> pourrait plaquer.,femme,::>13:61490>29:4914
250,Une femme pourrait <mask>.,plaquer,::>13:61490>29:4914
251,Un <mask> peut se faire faire cuire.,crêpe,::>66:17186>26:30536
252,Un crêpe peut se <mask> faire cuire.,faire,::>66:17186>26:30536
253,Un crêpe peut se faire <mask> cuire.,faire,::>66:17186>26:30536
254,Un crêpe peut se faire faire <mask>.,cuire,::>66:17186>26:30536
255,Des <mask> secrets pouvaient espionner.,services,::>13:165446>29:125964
256,Des services <mask> pouvaient espionner.,secrets,::>13:165446>29:125964
257,Des services secrets pouvaient <mask>.,espionner,::>13:165446>29:125964
258,Des <mask> pouvaient être vendus.,fromages,::>66:21694>26:54438
259,Des fromages pouvaient <mask> vendus.,être,::>66:21694>26:54438
260,Des fromages pouvaient être <mask>.,vendus,::>66:21694>26:54438
261,Une <mask> pouvait se promener dans le pré.,oie,::>66:79073>24:16597188
262,Une oie pouvait se <mask> dans le pré.,promener,::>66:79073>24:16597188
263,Une oie pouvait se promener dans le <mask>.,pré,::>66:79073>24:16597188
264,La <mask> va passer la nuit dans l'hôtel.,personne,::>66:14908340>15:102000
265,La personne va <mask> la nuit dans l'hôtel.,passer,::>66:14908340>15:102000
266,La personne va passer la <mask> dans l'hôtel.,nuit,::>66:14908340>15:102000
267,La personne va passer la nuit dans l'<mask>.,hôtel,::>66:14908340>15:102000
268,Un <mask> pouvait réviser.,jeune,::>66:28466>24:134753
269,Un jeune pouvait <mask>.,réviser,::>66:28466>24:134753
270,L'<mask> peut se faire du fric.,escroc,::>13:122455>29:14585899
271,L'escroc peut se <mask> du fric.,faire,::>13:122455>29:14585899
272,L'escroc peut se faire du <mask>.,fric,::>13:122455>29:14585899
273,Le <mask> est un endroit où il est possible de servir.,bar,::>66:19654>30:7888
274,Le bar est un <mask> où il est possible de servir.,endroit,::>66:19654>30:7888
275,Le bar est un endroit où il est <mask> de servir.,possible,::>66:19654>30:7888
276,Le bar est un endroit où il est possible de <mask>.,servir,::>66:19654>30:7888
277,Un <mask> de musique va enregistrer la chanson.,groupe,::>66:159986>24:16378214
278,Un groupe de <mask> va enregistrer la chanson.,musique,::>66:159986>24:16378214
279,Un groupe de musique va <mask> la chanson.,enregistrer,::>66:159986>24:16378214
280,Un groupe de musique va enregistrer la <mask>.,chanson,::>66:159986>24:16378214
281,On pourrait <mask> la cuillère.,laver,::>66:51905>26:143876
282,On pourrait laver la <mask>.,cuillère,::>66:51905>26:143876
283,L'<mask> pouvait explorer un région.,explorateur,::>14:132350>29:139448
284,L'explorateur pouvait <mask> un région.,explorer,::>14:132350>29:139448
285,L'explorateur pouvait explorer un <mask>.,région,::>14:132350>29:139448
286,Un <mask> est un lieu où il est possible de faire cuire.,autocuiseur,::>66:43966>30:30536
287,Un autocuiseur est un <mask> où il est possible de faire cuire.,lieu,::>66:43966>30:30536
288,Un autocuiseur est un lieu où il est <mask> de faire cuire.,possible,::>66:43966>30:30536
289,Un autocuiseur est un lieu où il est possible de <mask> cuire.,faire,::>66:43966>30:30536
290,Un autocuiseur est un lieu où il est possible de faire <mask>.,cuire,::>66:43966>30:30536
291,Une <mask> nucléaire pourrait produire.,centrale,::>66:101085>24:42963
292,Une centrale <mask> pourrait produire.,nucléaire,::>66:101085>24:42963
293,Une centrale nucléaire pourrait <mask>.,produire,::>66:101085>24:42963
294,Le <mask> de guerre pouvait prendre.,reporter,::>66:376142>24:86306
295,Le reporter de <mask> pouvait prendre.,guerre,::>66:376142>24:86306
296,Le reporter de guerre pouvait <mask>.,prendre,::>66:376142>24:86306
297,<mask> un pourrait ouïr avec le sonotone.,quelqu',::>16:63420>29:115473
298,Quelqu'un pourrait <mask> avec le sonotone.,ouïr,::>16:63420>29:115473
299,Quelqu'un pourrait ouïr avec le <mask>.,sonotone,::>16:63420>29:115473
300,Le <mask> peut manger avec des baguettes.,chinois,::>66:59402>24:4470305
301,Le chinois peut <mask> avec des baguettes.,manger,::>66:59402>24:4470305
302,Le chinois peut manger avec des <mask>.,baguettes,::>66:59402>24:4470305
303,Le <mask> va payer la facture.,client,::>13:20082>29:326506
304,Le client va <mask> la facture.,payer,::>13:20082>29:326506
305,Le client va payer la <mask>.,facture,::>13:20082>29:326506
306,Le <mask> pourrait recharger un révolver.,soldat,::>66:102633>24:14363997
307,Le soldat pourrait <mask> un révolver.,recharger,::>66:102633>24:14363997
308,Le soldat pourrait recharger un <mask>.,révolver,::>66:102633>24:14363997
309,La <mask> salope va aimer se faire ramoner le fion.,bonne,::>13:1873774>29:17109684
310,La bonne <mask> va aimer se faire ramoner le fion.,salope,::>13:1873774>29:17109684
311,La bonne salope va <mask> se faire ramoner le fion.,aimer,::>13:1873774>29:17109684
312,La bonne salope va aimer se <mask> ramoner le fion.,faire,::>13:1873774>29:17109684
313,La bonne salope va aimer se faire <mask> le fion.,ramoner,::>13:1873774>29:17109684
314,La bonne salope va aimer se faire ramoner le <mask>.,fion,::>13:1873774>29:17109684
315,Un <mask> peut jongler avec des balles larges.,individu,::>66:68439>24:14412362
316,Un individu peut <mask> avec des balles larges.,jongler,::>66:68439>24:14412362
317,Un individu peut jongler avec des <mask> larges.,balles,::>66:68439>24:14412362
318,Un individu peut jongler avec des balles <mask>.,larges,::>66:68439>24:14412362
319,Une <mask> pourrait fouiller.,police,::>66:141440>24:41715
320,Une police pourrait <mask>.,fouiller,::>66:141440>24:41715
321,Un <mask> peut être dans le désert.,cactus,::>14:144366>29:80350
322,Un cactus peut <mask> dans le désert.,être,::>14:144366>29:80350
323,Un cactus peut être dans le <mask>.,désert,::>14:144366>29:80350
324,Une <mask> va aspirer avec son aspirateur.,personne,::>66:225916>24:16601976
325,Une personne va <mask> avec son aspirateur.,aspirer,::>66:225916>24:16601976
326,Une personne va aspirer avec son <mask>.,aspirateur,::>66:225916>24:16601976
327,Un <mask> pouvait livrer quelque chose quelque chose.,livreur,::>66:96735>24:16560823
328,Un livreur pouvait <mask> quelque chose quelque chose.,livrer,::>66:96735>24:16560823
329,Un livreur pouvait livrer <mask> chose quelque chose.,quelque,::>66:96735>24:16560823
330,Un livreur pouvait livrer quelque <mask> quelque chose.,chose,::>66:96735>24:16560823
331,Un livreur pouvait livrer quelque chose <mask> chose.,quelque,::>66:96735>24:16560823
332,Un livreur pouvait livrer quelque chose quelque <mask>.,chose,::>66:96735>24:16560823
333,Une <mask> pourrait endommager.,souris,::>66:213377>24:77812
334,Une souris pourrait <mask>.,endommager,::>66:213377>24:77812
335,Une <mask> peut écrire la correction avec de la craie.,maîtresse,::>16:57914>29:16799160
336,Une maîtresse peut <mask> la correction avec de la craie.,écrire,::>16:57914>29:16799160
337,Une maîtresse peut écrire la <mask> avec de la craie.,correction,::>16:57914>29:16799160
338,Une maîtresse peut écrire la correction avec de la <mask>.,craie,::>16:57914>29:16799160
339,Un <mask> pourrait prolonger un état d'urgence.,gouvernement,::>66:72215>24:16559407
340,Un gouvernement pourrait <mask> un état d'urgence.,prolonger,::>66:72215>24:16559407
341,Un gouvernement pourrait prolonger un <mask> d'urgence.,état,::>66:72215>24:16559407
342,Un gouvernement pourrait prolonger un état d'<mask>.,urgence,::>66:72215>24:16559407
343,Une sorte de <mask> d'artillerie pourrait faire des victimes.,pilonnage,::>13:12080643>29:8785737
344,Une sorte de pilonnage d'<mask> pourrait faire des victimes.,artillerie,::>13:12080643>29:8785737
345,Une sorte de pilonnage d'artillerie pourrait <mask> des victimes.,faire,::>13:12080643>29:8785737
346,Une sorte de pilonnage d'artillerie pourrait faire des <mask>.,victimes,::>13:12080643>29:8785737
347,Le <mask> pouvait abattre un officier avec un fusil à lunette.,soldat,::>66:102633>24:16492383
348,Le soldat pouvait <mask> un officier avec un fusil à lunette.,abattre,::>66:102633>24:16492383
349,Le soldat pouvait abattre un <mask> avec un fusil à lunette.,officier,::>66:102633>24:16492383
350,Le soldat pouvait abattre un officier avec un <mask> à lunette.,fusil,::>66:102633>24:16492383
351,Le soldat pouvait abattre un officier avec un fusil à <mask>.,lunette,::>66:102633>24:16492383
352,Un <mask> peut fouiller un sac à main.,voleur,::>14:48825>29:41715
353,Un voleur peut <mask> un sac à main.,fouiller,::>14:48825>29:41715
354,Un voleur peut fouiller un <mask> à main.,sac,::>14:48825>29:41715
355,Un voleur peut fouiller un sac à <mask>.,main,::>14:48825>29:41715
356,Un <mask> paramilitaire pourrait massacrer quelqu'un.,groupe,::>13:245740>29:52361
357,Un groupe <mask> pourrait massacrer quelqu'un.,paramilitaire,::>13:245740>29:52361
358,Un groupe paramilitaire pourrait <mask> quelqu'un.,massacrer,::>13:245740>29:52361
359,Un groupe paramilitaire pourrait massacrer <mask> un.,quelqu',::>13:245740>29:52361
